treat_adult Average tube block
N 0.0887 N1 1
N 0.087366667 N1 1
N 0.089386667 N1 1
N 0.087486667 N1 1
N 0.086023333 N1 1
N 0.088096667 N1 1
N 0.085073333 N1 1
N 0.089833333 N1 1
N 0.088046667 N1 1
N 0.087913333 N1 1
N 0.089543333 N1 1
N 0.087716667 N1 1
N 0.09027 N1 1
N 0.08635 N1 1
N 0.08603 N1 1
N 0.08511 N1 1
N 0.089123333 N1 1
N 0.086236667 N1 1
N 0.087986667 N1 1
N 0.085986667 N1 1
N 0.08787 N1 1
N 0.088083333 N1 1
N 0.086033333 N1 1
N 0.087723333 N1 1
N 0.089703333 N1 1
N 0.085436667 N1 1
N 0.088006667 N1 1
N 0.08841 N1 1
N 0.091263333 N1 1
N 0.086963333 N1 1
N 0.088903333 N1 1
N 0.085323333 N1 1
N 0.087226667 N1 1
N 0.08887 N1 1
N 0.0878 N1 1
N 0.090303333 N2 1
N 0.088826667 N2 1
N 0.091176667 N2 1
N 0.09113 N2 1
N 0.089643333 N2 1
N 0.0903 N2 1
N 0.09142 N2 1
N 0.08913 N2 1
N 0.09162 N2 1
N 0.089843333 N2 1
N 0.0891 N2 1
N 0.089333333 N2 1
N 0.08756 N2 1
N 0.089443333 N2 1
N 0.08924 N2 1
N 0.090246667 N2 1
N 0.08952 N2 1
N 0.090996667 N2 1
N 0.089756667 N2 1
N 0.09147 N2 1
N 0.08955 N2 1
N 0.091443333 N2 1
N 0.090673333 N2 1
N 0.090023333 N2 1
N 0.090766667 N2 1
N 0.08967 N2 1
N 0.090293333 N2 1
N 0.088436667 N2 1
N 0.090433333 N2 1
N 0.09053 N2 1
N 0.089576667 N2 1
N 0.089903333 N2 1
N 0.089266667 N2 1
N 0.09049 N2 1
N 0.09067 N2 1
N 0.08623 N3 2
N 0.08557 N3 2
N 0.08592 N3 2
N 0.085126667 N3 2
N 0.08737 N3 2
N 0.085773333 N3 2
N 0.084763333 N3 2
N 0.084966667 N3 2
N 0.08453 N3 2
N 0.084473333 N3 2
N 0.08669 N3 2
N 0.085206667 N3 2
N 0.08524 N3 2
N 0.086386667 N3 2
N 0.085736667 N3 2
N 0.086006667 N3 2
N 0.086006667 N3 2
N 0.08403 N3 2
N 0.08464 N3 2
N 0.086373333 N3 2
N 0.08556 N3 2
N 0.084816667 N3 2
N 0.084606667 N3 2
N 0.08651 N3 2
N 0.08505 N3 2
N 0.08455 N3 2
N 0.08585 N3 2
N 0.084216667 N3 2
N 0.08757 N3 2
N 0.083626667 N3 2
N 0.084346667 N3 2
N 0.085643333 N3 2
N 0.082676667 N3 2
N 0.086563333 N3 2
N 0.083393333 N3 2
N 0.0877 N4 2
N 0.088846667 N4 2
N 0.087933333 N4 2
N 0.089043333 N4 2
N 0.086623333 N4 2
N 0.08435 N4 2
N 0.0866 N4 2
N 0.092733333 N4 2
N 0.083543333 N4 2
N 0.082093333 N4 2
N 0.087676667 N4 2
N 0.08839 N4 2
N 0.08418 N4 2
N 0.08795 N4 2
N 0.086796667 N4 2
N 0.089696667 N4 2
N 0.085516667 N4 2
N 0.08269 N4 2
N 0.089366667 N4 2
N 0.08823 N4 2
N 0.083336667 N4 2
N 0.08902 N4 2
N 0.092656667 N4 2
N 0.083356667 N4 2
N 0.09046 N4 2
N 0.089 N4 2
N 0.086663333 N4 2
N 0.092386667 N4 2
N 0.085353333 N4 2
N 0.089646667 N4 2
N 0.08991 N4 2
N 0.08801 N4 2
N 0.088323333 N4 2
N 0.085076667 N4 2
N 0.091363333 N4 2
N 0.08979 N5 3
N 0.089453333 N5 3
N 0.09178 N5 3
N 0.09132 N5 3
N 0.094733333 N5 3
N 0.097133333 N5 3
N 0.089783333 N5 3
N 0.089783333 N5 3
N 0.088753333 N5 3
N 0.089496667 N5 3
N 0.08813 N5 3
N 0.087956667 N5 3
N 0.090663333 N5 3
N 0.089703333 N5 3
N 0.092983333 N5 3
N 0.091643333 N5 3
N 0.08727 N5 3
N 0.08498 N5 3
N 0.08639 N5 3
N 0.092463333 N5 3
N 0.09126 N5 3
N 0.089993333 N5 3
N 0.092383333 N5 3
N 0.089566667 N5 3
N 0.096566667 N5 3
N 0.08988 N5 3
N 0.08997 N5 3
N 0.090516667 N5 3
N 0.084453333 N5 3
N 0.091893333 N5 3
N 0.08794 N5 3
N 0.092156667 N5 3
N 0.091653333 N5 3
N 0.090686667 N5 3
N 0.09226 N5 3
N 0.088673333 N6 3
N 0.087033333 N6 3
N 0.090606667 N6 3
N 0.090083333 N6 3
N 0.09226 N6 3
