bucket treat_dev PercAb
N1.1_N1 N 0.066666667
N1.1_N2 N 0.166666667
N1.2_N1 N 0.133333333
N1.2_N2 N 0.066666667
N10.10_N1 N 0.113207547
N10.10_N2 N 0.052631579
N10.9_N1 N 0.014705882
N10.9_N2 N 0.053846154
N2.1_N1 N 0.2
N2.1_N2 N 0.3
N2.2_N1 N 0.2
N2.2_N2 N 0.133333333
N3.3_N1 N 0.028571429
N3.3_N2 N 0.010869565
N3.4_N1 N 0
N3.4_N2 N 0.1
N4.3_N1 N 0.038961039
N4.3_N2 N 0.111111111
N4.4_N1 N 0.032608696
N4.4_N2 N 0.027777778
N5.5_N1 N 0.434782609
N5.5_N2 N 0.461538462
N5.6_N1 N 0.142857143
N5.6_N2 N 0.14159292
N6.5_N1 N 0.406976744
N6.5_N2 N 0.714285714
N6.6_N1 N 0.205607477
N6.6_N2 N 0.262135922
N7.7_N1 N 0.138211382
N7.7_N2 N 0.39047619
N7.8_N1 N 0.25
N7.8_N2 N 0.081081081
N8.7_N1 N 0.172727273
N8.7_N2 N 0.063063063
N8.8_N1 N 0.441860465
N8.8_N2 N 0.377358491
N9.10_N1 N 0.157894737
N9.10_N2 N 0.164556962
N9.9_N1 N 0.033557047
N9.9_N2 N 0.113475177
N1.1_U1 U 0
N1.1_U2 U 0.066666667
N1.2_U1 U 0.052631579
N1.2_U2 U 0.041666667
N10.10_U1 U 0.1
N10.10_U2 U 0.04040404
N10.9_U1 U 0.030927835
N10.9_U2 U 0
N2.1_U1 U 0.263157895
N2.1_U2 U 0.2
N2.2_U1 U 0.225806452
N2.2_U2 U 0.166666667
N3.3_U1 U 0.090909091
N3.3_U2 U 0.03125
N3.4_U1 U 0.138888889
N3.4_U2 U 0.062068966
N4.3_U1 U 0.082191781
N4.3_U2 U 0.047945205
N4.4_U1 U 0.064516129
N4.4_U2 U 0.047058824
N5.5_U1 U 0.321428571
N5.5_U2 U 0.348837209
N5.6_U1 U 0.233333333
N5.6_U2 U 0.18627451
N6.5_U1 U 0.401515152
N6.5_U2 U 0.356589147
N6.6_U1 U 0.30952381
N6.6_U2 U 0.213483146
N7.7_U1 U 0.28
N7.7_U2 U 0.274074074
N7.8_U1 U 0.117021277
N7.8_U2 U 0.139130435
N8.7_U1 U 0.152671756
N8.7_U2 U 0.154761905
N8.8_U1 U 0.609375
N8.8_U2 U 0.517647059
N9.10_U1 U 0.125
N9.10_U2 U 0.093220339
N9.9_U1 U 0.080645161
N9.9_U2 U 0.067961165
