bucket treat_dev PercAb
U1.1_N1 N 0.451612903
U1.1_N2 N 0.558823529
U1.2_N1 N 0.475
U1.2_N2 N 0.551724138
U10.10_N1 N 0.275862069
U10.10_N2 N 0.171717172
U10.9_N1 N 0.393617021
U10.9_N2 N 0.402298851
U2.1_N1 N 0.067307692
U2.1_N2 N 0.125
U2.2_N1 N 0.053763441
U2.2_N2 N 0.06741573
U3.3_N1 N 0.021276596
U3.3_N2 N 0.065420561
U3.4_N1 N 0.055555556
U3.4_N2 N 0.096153846
U4.3_N1 N 0.027272727
U4.3_N2 N 0.038095238
U4.4_N1 N 0.035714286
U4.4_N2 N 0.05952381
U5.5_N1 N 0.218390805
U5.5_N2 N 0.14893617
U5.6_N1 N 0.214285714
U5.6_N2 N 0.166666667
U6.5_N1 N 0.25974026
U6.5_N2 N 0.320512821
U6.6_N1 N 0.225806452
U6.6_N2 N 0.2265625
U7.7_N1 N 0.02919708
U7.7_N2 N 0.076923077
U7.8_N1 N 0.031746032
U7.8_N2 N 0.041666667
U8.7_N1 N 0.085714286
U8.7_N2 N 0.03968254
U8.8_N1 N 0.070588235
U8.8_N2 N 0.111111111
U9.10_N1 N 0.426829268
U9.10_N2 N 0.265060241
U9.9_N1 N 0.315789474
U9.9_N2 N 0.420289855
U1.1_U1 U 0.681818182
U1.1_U2 U 0.612244898
U1.2_U1 U 0.615384615
U1.2_U2 U 0.583333333
U10.10_U1 U 0.116666667
U10.10_U2 U 0.225806452
U10.9_U1 U 0.327586207
U10.9_U2 U 0.307692308
U2.1_U1 U 0.236842105
U2.1_U2 U 0.125
U2.2_U1 U 0.255319149
U2.2_U2 U 0.0875
U3.3_U1 U 0.051612903
U3.3_U2 U 0.070175439
U3.4_U1 U 0.028571429
U3.4_U2 U 0.06779661
U4.3_U1 U 0.051724138
U4.3_U2 U 0.074626866
U4.4_U1 U 0.102362205
U4.4_U2 U 0.092783505
U5.5_U1 U 0.261363636
U5.5_U2 U 0.225225225
U5.6_U1 U 0.207317073
U5.6_U2 U 0.210526316
U6.5_U1 U 0.53968254
U6.5_U2 U 0.315384615
U6.6_U1 U 0.161971831
U6.6_U2 U 0.217687075
U7.7_U1 U 0.084745763
U7.7_U2 U 0.115942029
U7.8_U1 U 0.071428571
U7.8_U2 U 0.164383562
U8.7_U1 U 0.088888889
U8.7_U2 U 0.098039216
U8.8_U1 U 0.102739726
U8.8_U2 U 0.176
U9.10_U1 U 0.404761905
U9.10_U2 U 0.370967742
U9.9_U1 U 0.375
U9.9_U2 U 0.358974359
